scientific_name,µhab_surf,µhab_subsurf,µhab_soil
Arenimonas sp. HMF3017,1,1,1
uncultured Arenimonas sp.,1,1,1
Luteimonas aestuarii,1,1,1
Lysobacter sp. MS6Y-8-7,1,1,1
Lysobacter sp. RHLT3-4,1,1,1
Lysobacter sp. YS-37,1,1,1
uncultured Lysobacter sp.,1,1,1
Xanthomonadaceae,1,1,1
Stenotrophomonas,1,1,1
Thermomonas,1,1,1
uncultured Thermomonas sp.,1,1,1
uncultured Xanthomonas sp.,1,1,1
Alternaria,1,1,1
Anoplophrya marylandensis,1,1,1
Aphidius ervi,1,1,0
Cladosporium,1,1,1
Cladosporium sp. CB-20,1,1,1
Cochlonema euryblastum,1,1,1
Conidiobolus coronatus,1,1,1
Conidiobolus firmipilleus,1,1,1
Conidiobolus lamprauges,1,1,1
Cystobasidium,1,1,1
Metarhizium,1,1,1
Metarhizium anisopliae,1,1,1
Beauveria,1,1,1
Cordyceps cylindrica,1,1,1
Cordyceps memorabilis,1,1,1
Entyloma ficariae,1,1,1
Eucoccidiorida,1,1,1
Gaeumannomyces graminis var. avenae,1,1,1
Gliricola sp. 274,1,1,1
Glossiphoniidae,1,1,1
Itersonilia pannonica,1,1,1
Itersonilia perplexans,1,1,1
Leptosphaeria biglobosa 'brassicae' group,1,1,1
Magnaporthe,1,1,1
Malassezia,1,1,1
Malassezia globosa,1,1,1
Monocystis agilis,1,1,1
Gregarinasina,1,1,1
Olpidium bornovanus,1,1,1
Olpidium brassicae,1,1,1
Phoma herbarum,1,1,1
Chytridium polysiphoniae,1,1,1
Protomyces,1,1,1
Pythium,1,1,1
Rhizoctonia solani,1,1,1
Rhizoctonia zeae,1,1,1
Waitea circinata,1,1,1
Rhizoglyphus,1,1,1
Rhizophydium,1,1,1
Rhizophydium planktonicum,1,1,1
Romanomermis sichuanensis,1,1,1
Synchytrium,1,1,1
Syncystis mirabilis,1,1,1
Tetranychus urticae,1,1,1
Thripinae,1,1,1
Herpetomonas,1,1,1
Trypanosoma,1,1,1
Limonomyces roseipellis,1,1,1
Heterodera,0,1,1
Helicotylenchus,0,1,1
Helicotylenchus varicaudatus,0,1,1
Hoplolaiminae,0,1,1
Rotylenchulus borealis,0,1,1
Rotylenchulus reniformis,0,1,1
Rotylenchus vitis,0,1,1
Meloidogyne naasi,0,1,1
Amplimerlinius,0,1,1
Amplimerlinius icarus,0,1,1
Merlinius brevidens,0,1,1
Merlinius cf. microdorus TSH-2005,0,1,1
Merlinius joctus,0,1,1
Merliniidae,0,1,1
Pratylenchoides ritteri,0,1,1
Pratylenchus,0,1,1
Tylenchus arcuatus,0,1,1
Paratylenchus,0,1,1
Paratylenchus cf. neoamblicephalus,0,1,1
Paratylenchus microdorus,0,1,1
Paratylenchus similis,0,1,1
Longidorus,0,1,1
Longidorus raskii,0,1,1
Longidorus vinearum,0,1,1
Xiphinema,0,1,1
Xiphinema diversicaudatum,0,1,1
Trichodoridae,0,1,1
Aphanomyces,1,1,1
Plasmodiophoridae,1,1,1
